Shipment_ID,Origin,Destination,Transport_Mode,Cargo_Type,Weight_KG,Volume_CBM,Distance_KM,Container_Type,Fuel_Price,Season,Carrier,Transit_Days,Actual_Freight_Price_INR
SHP00024K,Kolkata,Shanghai,Sea,General Merchandise,4054.0,24.0,927.0,LCL,92.83,Normal,Carrier_B,12.0,46521.0
SHP00025A,Mumbai,Jebel Ali,Sea,General Merchandise,4372.0,25.0,6790.0,LCL,78.1,Normal,Carrier_E,15.0,55319.0
SHP00026P,Pune,Los Angeles,Sea,Electronics,3799.0,26.0,1984.0,LCL,87.63,Normal,Carrier_C,6.0,110454.0
SHP00027A,Mumbai,Jebel Ali,Sea,Pharmaceuticals,4451.0,27.0,921.0,40FT_HC,107.86,Normal,Carrier_B,2.0,60819.0
SHP00028M,Mumbai,Jebel Ali,Sea,Textiles,5056.0,28.0,10820.0,40FT,101.25,Peak,Carrier_E,17.0,123405.0
SHP00029A,Mumbai,Los Angeles,Sea,General Merchandise,1558.0,29.0,11183.0,40FT_HC,114.82,Normal,Carrier_D,25.0,129552.0
SHP00030M,Mumbai,Hamburg,Sea,Chemicals,2057.0,30.0,1376.0,LCL,81.89,Normal,Carrier_C,4.0,31099.0
SHP00031H,Hyderabad,Colombo,Sea,Electronics,8005.0,31.0,6822.0,LCL,90.88,Normal,Carrier_C,17.0,71096.0
SHP00032A,Mumbai,Los Angeles,Sea,Automotive Parts,7702.0,32.0,6706.0,40FT,107.39,Peak,Carrier_B,12.0,105306.0
SHP00033B,Bengaluru,New York,Sea,General Merchandise,2379.0,33.0,4783.0,20FT,83.63,Normal,Carrier_A,16.0,44472.0
SHP00034M,Mumbai,Colombo,Road,Furniture,3700.0,34.0,7042.0,40FT_HC,81.15,Off_Peak,Carrier_A,14.0,71088.0
SHP00035B,Bengaluru,Rotterdam,Sea,General Merchandise,3916.0,35.0,5768.0,20FT,92.1,Peak,Carrier_B,11.0,94757.0
SHP00036C,Chennai,Hamburg,Air,Electronics,7836.0,36.0,6131.0,LCL,90.35,Off_Peak,Carrier_C,13.0,230126.0
SHP00037M,Mumbai,Rotterdam,Sea,Textiles,3129.0,37.0,9186.0,LCL,114.21,Normal,Carrier_C,19.0,98791.0
SHP00038C,Chennai,Shanghai,Sea,Chemicals,6549.0,38.0,1137.0,AIR_CARGO,93.25,Off_Peak,Carrier_C,14.0,50303.0
SHP00039D,Delhi,Singapore,Air,Furniture,1835.0,39.0,4222.0,AIR_CARGO,109.44,Normal,Carrier_D,9.0,199789.0
SHP00040B,Bengaluru,London,Sea,Automotive Parts,19165.0,40.0,7187.0,20FT,110.52,Off_Peak,Carrier_A,11.0,112151.0
SHP00041D,Delhi,Rotterdam,Sea,Furniture,7869.0,41.0,1103.0,AIR_CARGO,81.31,Normal,Carrier_D,15.0,53011.0
SHP00042M,Mumbai,Dubai,Sea,General Merchandise,2583.0,42.0,8117.0,40FT,103.61,Peak,Carrier_C,19.0,91262.0
SHP00043C,Chennai,Jebel Ali,Sea,Textiles,11247.0,43.0,7611.0,20FT,86.1,Peak,Carrier_A,14.0,82814.0
SHP00044M,Mumbai,New York,Road,Pharmaceuticals,8143.0,44.0,1487.0,AIR_CARGO,78.79,Normal,Carrier_C,13.0,73089.0
SHP00045D,Delhi,Rotterdam,Sea,Chemicals,4066.0,45.0,5000.0,AIR_CARGO,109.99,Peak,Carrier_C,7.0,65855.0
SHP00046P,Pune,Rotterdam,Sea,Pharmaceuticals,5631.0,46.0,5000.0,40FT,86.7,Normal,Carrier_B,12.0,146740.0
SHP00047P,Pune,Singapore,Sea,Chemicals,8190.0,47.0,1492.0,40FT,88.81,Off_Peak,Carrier_A,15.0,60695.0
SHP00048M,Mumbai,Shanghai,Sea,Automotive Parts,9175.0,48.0,795.0,20FT,87.96,Normal,Carrier_C,18.0,64567.0
SHP00049H,Hyderabad,Jebel Ali,Sea,Machinery,4906.0,49.0,5493.0,40FT_HC,83.01,Normal,Carrier_E,10.0,53740.0
SHP00050K,Kolkata,Jebel Ali,Sea,Chemicals,2976.0,50.0,4701.0,40FT,92.38,Normal,Carrier_E,13.0,61529.0
SHP00051D,Delhi,Singapore,Road,Machinery,8733.0,51.0,625.0,AIR_CARGO,92.13,Normal,Carrier_C,19.0,88876.0
SHP00052M,Mumbai,Los Angeles,Sea,Pharmaceuticals,3055.0,52.0,886.0,20FT,91.35,Peak,Carrier_B,12.0,126371.0
SHP00053C,Chennai,Singapore,Road,Chemicals,5598.0,53.0,609.0,40FT_HC,111.65,Normal,Carrier_C,2.0,63998.0
SHP00054M,Mumbai,Dubai,Road,Automotive Parts,2834.0,54.0,5918.0,20FT,88.59,Off_Peak,Carrier_E,12.0,64560.0
SHP00055P,Pune,Colombo,Sea,Electronics,6348.0,55.0,2494.0,AIR_CARGO,76.22,Normal,Carrier_A,9.0,32117.0
SHP00056C,Chennai,Dubai,Road,Automotive Parts,5174.0,56.0,4850.0,40FT_HC,82.14,Normal,Carrier_B,12.0,63248.0
SHP00057K,Kolkata,Singapore,Sea,Automotive Parts,3849.0,57.0,1183.0,40FT_HC,103.86,Normal,Carrier_C,7.0,60142.0
SHP00058M,Mumbai,London,Sea,Electronics,4435.0,58.0,9439.0,40FT,98.63,Normal,Carrier_E,20.0,95810.0
SHP00059A,Mumbai,Los Angeles,Sea,Electronics,3604.0,59.0,4311.0,LCL,113.07,Normal,Carrier_A,11.0,67369.0
SHP00060P,Pune,London,Sea,Textiles,7868.0,60.0,698.0,AIR_CARGO,102.78,Normal,Carrier_E,13.0,73789.0
SHP00061A,Mumbai,Dubai,Sea,Chemicals,8250.0,3.46,1031.0,LCL,82.77,Peak,Carrier_B,16.0,65328.0
SHP00062K,Kolkata,Jebel Ali,Sea,Pharmaceuticals,12192.0,32.32,5749.0,AIR_CARGO,79.83,Normal,Carrier_D,13.0,69880.0
SHP00063D,Delhi,Dubai,Air,Textiles,5000.0,4.35,1432.0,20FT,95.83,Peak,Carrier_C,7.0,94058.0
SHP00064C,Chennai,Hamburg,Sea,Electronics,3267.0,7.74,8554.0,LCL,101.61,Normal,Carrier_A,19.0,86496.0
SHP00065A,Mumbai,Shanghai,Sea,Machinery,2209.0,8.57,1364.0,40FT_HC,81.63,Normal,Carrier_B,3.0,27785.0
SHP00066H,Hyderabad,New York,Sea,Pharmaceuticals,2817.0,6.29,1641.0,40FT,99.07,Normal,Carrier_B,4.0,43007.0
SHP00067D,Delhi,Hamburg,Sea,Machinery,2306.0,2.51,2754.0,AIR_CARGO,109.6,Normal,Carrier_D,9.0,61954.0
SHP00068C,Chennai,Singapore,Air,Automotive Parts,4682.0,15.77,3724.0,40FT,104.1,Normal,Carrier_D,4.0,232992.0
SHP00069P,Pune,Rotterdam,Sea,General Merchandise,4603.0,1.28,10234.0,AIR_CARGO,101.57,Normal,Carrier_C,19.0,100063.0
SHP00070P,Pune,London,Road,Automotive Parts,2699.0,6.68,8262.0,40FT_HC,106.57,Off_Peak,Carrier_C,20.0,114858.0
SHP00071P,Pune,Colombo,Air,Automotive Parts,4953.0,1.85,1389.0,40FT_HC,79.16,Peak,Carrier_B,12.0,150274.0
SHP00072K,Kolkata,Hamburg,Sea,General Merchandise,1727.0,0.5,11754.0,40FT_HC,83.15,Normal,Carrier_C,22.0,76201.0
SHP00073A,Mumbai,Los Angeles,Sea,Chemicals,3301.0,3.33,898.0,40FT_HC,76.52,Normal,Carrier_C,6.0,31434.0
SHP00074P,Pune,London,Air,Electronics,2012.0,6.63,7513.0,40FT_HC,80.8,Off_Peak,Carrier_D,17.0,173033.0
SHP00075B,Bengaluru,Hamburg,Air,Machinery,10243.0,0.5,793.0,40FT,111.53,Normal,Carrier_B,21.0,346152.0
SHP00076P,Pune,Jebel Ali,Air,Automotive Parts,2882.0,1.28,9723.0,20FT,83.89,Normal,Carrier_E,19.0,235376.0
SHP00077M,Mumbai,New York,Air,General Merchandise,3030.0,1.99,1539.0,LCL,101.48,Peak,Carrier_E,6.0,148079.0
SHP00078K,Kolkata,Dubai,Sea,Textiles,4805.0,18.69,8519.0,40FT,102.66,Normal,Carrier_A,18.0,97060.0
SHP00079C,Chennai,Dubai,Sea,Automotive Parts,3465.0,10.39,1131.0,LCL,100.81,Normal,Carrier_D,8.0,52991.0
SHP00080C,Chennai,Hamburg,Sea,Machinery,4591.0,2.93,1182.0,20FT,97.16,Normal,Carrier_A,8.0,52728.0
SHP00081C,Chennai,Singapore,Road,Electronics,6735.0,10.55,6123.0,AIR_CARGO,94.45,Normal,Carrier_B,11.0,102965.0
SHP00082C,Chennai,Los Angeles,Sea,Automotive Parts,9594.0,1.86,1027.0,20FT,91.8,Peak,Carrier_E,21.0,87786.0
SHP00083M,Mumbai,Singapore,Sea,Automotive Parts,9484.0,13.78,2411.0,20FT,111.68,Normal,Carrier_E,8.0,75736.0
SHP00084D,Delhi,London,Sea,Chemicals,1748.0,4.52,1371.0,AIR_CARGO,75.38,Peak,Carrier_E,6.0,31174.0
SHP00085H,Hyderabad,Shanghai,Sea,Furniture,2265.0,0.5,1378.0,LCL,77.14,Off_Peak,Carrier_A,5.0,28003.0
SHP00086B,Bengaluru,New York,Sea,General Merchandise,4324.0,5.45,3010.0,40FT_HC,94.7,Off_Peak,Carrier_C,9.0,51120.0
SHP00087M,Mumbai,New York,Air,Textiles,3573.0,12.42,1184.0,AIR_CARGO,88.22,Normal,Carrier_A,3.0,104240.0
SHP00088C,Chennai,Dubai,Sea,Textiles,7267.0,16.69,11153.0,AIR_CARGO,91.33,Normal,Carrier_E,25.0,93538.0
SHP00089M,Mumbai,New York,Road,Pharmaceuticals,4169.0,5.2,731.0,20FT,114.91,Off_Peak,Carrier_D,8.0,78388.0
SHP00090K,Kolkata,Singapore,Sea,Electronics,3537.0,13.25,2535.0,AIR_CARGO,106.01,Peak,Carrier_D,6.0,63719.0
SHP00091H,Hyderabad,Los Angeles,Sea,Pharmaceuticals,2426.0,5.42,7835.0,40FT,110.1,Normal,Carrier_A,16.0,88084.0
SHP00092C,Chennai,Los Angeles,Sea,Machinery,9550.0,2.94,1242.0,40FT_HC,89.74,Off_Peak,Carrier_A,21.0,211092.0
SHP00093B,Bengaluru,Dubai,Air,Electronics,8493.0,24.45,9162.0,20FT,84.58,Normal,Carrier_B,19.0,295218.0
SHP00094C,Chennai,Hamburg,Sea,Automotive Parts,2913.0,4.78,8765.0,LCL,105.72,Peak,Carrier_A,18.0,105042.0
SHP00095H,Hyderabad,Los Angeles,Sea,Furniture,2400.0,10.33,1081.0,LCL,107.3,Normal,Carrier_A,3.0,111991.0
SHP00096B,Bengaluru,Singapore,Sea,Automotive Parts,3358.0,0.5,9495.0,LCL,97.0,Off_Peak,Carrier_E,20.0,81734.0
SHP00097H,Hyderabad,Rotterdam,Sea,Textiles,6272.0,0.52,813.0,LCL,110.84,Peak,Carrier_C,13.0,86372.0
SHP00098B,Bengaluru,Hamburg,Sea,Machinery,7964.0,3.39,1110.0,LCL,113.69,Normal,Carrier_E,15.0,87401.0
SHP00099D,Delhi,Shanghai,Sea,General Merchandise,2014.0,0.5,11499.0,20FT,93.84,Normal,Carrier_C,23.0,90258.0
SHP00100A,Mumbai,Colombo,Sea,Machinery,3071.0,8.79,9823.0,40FT,83.91,Normal,Carrier_E,20.0,69113.0
SHP00101D,Delhi,Jebel Ali,Sea,Automotive Parts,5725.0,14.32,9992.0,40FT,95.68,Normal,Carrier_E,25.0,97622.0
SHP00102M,Mumbai,New York,Sea,General Merchandise,2587.0,0.5,1406.0,LCL,114.58,Normal,Carrier_B,5.0,52231.0
SHP00103M,Mumbai,New York,Sea,Machinery,5979.0,0.5,1212.0,40FT,86.72,Normal,Carrier_C,11.0,54820.0
SHP00104P,Pune,Rotterdam,Sea,Furniture,3463.0,4.76,11417.0,40FT_HC,99.7,Normal,Carrier_E,23.0,108590.0
SHP00105B,Bengaluru,Hamburg,Road,Furniture,2289.0,0.5,7201.0,40FT,102.76,Normal,Carrier_E,13.0,106003.0
SHP00106P,Pune,Dubai,Sea,Machinery,1680.0,8.15,717.0,AIR_CARGO,83.56,Normal,Carrier_C,3.0,31063.0
SHP00107P,Pune,Singapore,Sea,General Merchandise,8916.0,2.43,1376.0,LCL,98.54,Peak,Carrier_B,15.0,93122.0
SHP00108C,Chennai,Rotterdam,Sea,Automotive Parts,2221.0,0.5,994.0,AIR_CARGO,87.58,Peak,Carrier_C,2.0,90429.0
SHP00109A,Mumbai,Jebel Ali,Sea,Machinery,2262.0,4.9,9036.0,AIR_CARGO,109.17,Normal,Carrier_B,17.0,107576.0
SHP00110K,Kolkata,Los Angeles,Sea,General Merchandise,2650.0,7.27,10617.0,LCL,103.59,Normal,Carrier_B,19.0,97550.0
SHP00111K,Kolkata,Dubai,Sea,Chemicals,5390.0,0.5,1074.0,20FT,108.05,Normal,Carrier_D,11.0,77561.0
SHP00112C,Chennai,Colombo,Sea,Furniture,2296.0,4.01,5257.0,40FT,82.99,Normal,Carrier_B,7.0,53699.0
SHP00113C,Chennai,Dubai,Road,Chemicals,4627.0,16.23,3998.0,40FT_HC,76.38,Normal,Carrier_D,10.0,51033.0
SHP00114D,Delhi,Rotterdam,Sea,Automotive Parts,10585.0,0.5,5000.0,20FT,109.02,Normal,Carrier_A,20.0,319481.0
SHP00115K,Kolkata,Shanghai,Sea,General Merchandise,2081.0,2.63,6800.0,40FT_HC,90.47,Normal,Carrier_B,14.0,71165.0
SHP00116B,Bengaluru,Rotterdam,Sea,Chemicals,7161.0,0.5,849.0,LCL,82.19,Normal,Carrier_C,16.0,65958.0
SHP00117H,Hyderabad,Rotterdam,Sea,General Merchandise,2448.0,13.12,8110.0,40FT,78.68,Normal,Carrier_D,17.0,193205.0
SHP00118P,Pune,Rotterdam,Sea,Machinery,3953.0,4.87,940.0,20FT,95.66,Normal,Carrier_A,8.0,49923.0
SHP00119M,Mumbai,Dubai,Road,Automotive Parts,2728.0,6.3,5477.0,LCL,81.01,Peak,Carrier_A,13.0,72314.0
SHP00120P,Pune,Rotterdam,Sea,Chemicals,7197.0,14.26,9028.0,20FT,97.67,Normal,Carrier_B,22.0,92836.0
SHP00121P,Pune,Hamburg,Air,Pharmaceuticals,11833.0,0.5,1323.0,AIR_CARGO,104.09,Normal,Carrier_C,21.0,336379.0
SHP00122H,Hyderabad,Dubai,Road,Machinery,5000.0,2.38,895.0,40FT,96.4,Normal,Carrier_B,5.0,34330.0
SHP00123D,Delhi,Los Angeles,Sea,Furniture,1842.0,6.37,990.0,40FT,111.15,Normal,Carrier_E,2.0,41421.0
SHP00124K,Kolkata,Hamburg,Sea,Pharmaceuticals,3075.0,3.07,5423.0,LCL,81.22,Normal,Carrier_A,14.0,48658.0
SHP00125P,Pune,Jebel Ali,Sea,Pharmaceuticals,8086.0,1.22,1289.0,LCL,94.76,Normal,Carrier_E,15.0,73501.0
SHP00126A,Mumbai,Los Angeles,Sea,Electronics,1953.0,8.08,4943.0,LCL,81.53,Off_Peak,Carrier_E,9.0,37985.0
SHP00127C,Chennai,Colombo,Air,Electronics,1618.0,10.29,11996.0,40FT,110.04,Normal,Carrier_D,26.0,404692.0
SHP00128A,Mumbai,New York,Road,Automotive Parts,1846.0,6.57,2747.0,AIR_CARGO,112.29,Normal,Carrier_E,8.0,61912.0
SHP00129A,Mumbai,Dubai,Sea,Chemicals,3099.0,4.73,591.0,40FT,91.0,Peak,Carrier_A,2.0,41739.0
SHP00130K,Kolkata,New York,Sea,Chemicals,3577.0,7.9,2686.0,LCL,87.23,Normal,Carrier_A,7.0,39339.0
SHP00131B,Bengaluru,Dubai,Sea,Chemicals,10699.0,3.93,957.0,40FT_HC,86.17,Off_Peak,Carrier_C,20.0,71694.0
SHP00132D,Delhi,Los Angeles,Sea,General Merchandise,3091.0,6.19,2169.0,AIR_CARGO,109.39,Normal,Carrier_B,3.0,55831.0
SHP00133P,Pune,Colombo,Sea,Machinery,19318.0,48.84,6008.0,40FT,102.3,Normal,Carrier_C,13.0,101566.0
SHP00134P,Pune,Singapore,Sea,Chemicals,6821.0,13.32,5322.0,40FT_HC,110.22,Normal,Carrier_C,11.0,86230.0
SHP00135P,Pune,Singapore,Road,Machinery,1647.0,10.37,8156.0,AIR_CARGO,79.7,Peak,Carrier_B,15.0,91559.0
SHP00136C,Chennai,Hamburg,Sea,Automotive Parts,2724.0,6.14,1128.0,40FT,94.04,Normal,Carrier_A,7.0,45120.0
SHP00137H,Hyderabad,Rotterdam,Sea,Pharmaceuticals,2446.0,3.3,8076.0,LCL,102.05,Normal,Carrier_D,15.0,83161.0
SHP00138B,Bengaluru,Rotterdam,Sea,Chemicals,3370.0,10.39,4580.0,40FT,110.88,Normal,Carrier_E,11.0,236510.0
SHP00139H,Hyderabad,Singapore,Sea,Automotive Parts,1900.0,0.61,11149.0,AIR_CARGO,90.28,Normal,Carrier_D,24.0,92054.0
SHP00140M,Mumbai,Los Angeles,Sea,Chemicals,2099.0,5.59,10262.0,LCL,87.52,Normal,Carrier_E,20.0,101029.0
SHP00141D,Delhi,Colombo,Road,Electronics,1555.0,9.31,5094.0,20FT,111.52,Normal,Carrier_B,10.0,92911.0
SHP00142B,Bengaluru,Hamburg,Sea,Textiles,5095.0,7.26,11918.0,40FT_HC,76.9,Normal,Carrier_B,24.0,76110.0
SHP00143B,Bengaluru,Los Angeles,Sea,Automotive Parts,3060.0,12.05,1097.0,LCL,94.18,Normal,Carrier_C,5.0,34141.0
SHP00144P,Pune,Rotterdam,Sea,Chemicals,3075.0,2.16,9569.0,LCL,93.35,Normal,Carrier_B,21.0,81150.0
SHP00145H,Hyderabad,Hamburg,Sea,Furniture,5519.0,16.42,5489.0,AIR_CARGO,80.84,Peak,Carrier_E,16.0,61828.0
SHP00146C,Chennai,New York,Sea,Textiles,5573.0,9.48,5483.0,AIR_CARGO,90.8,Normal,Carrier_D,11.0,72998.0
SHP00147M,Mumbai,London,Sea,Automotive Parts,4929.0,16.5,2457.0,40FT_HC,103.9,Normal,Carrier_D,7.0,63187.0
SHP00148P,Pune,Jebel Ali,Sea,Furniture,5465.0,10.71,6421.0,AIR_CARGO,89.67,Peak,Carrier_D,11.0,77403.0
SHP00149P,Pune,Hamburg,Sea,Furniture,6903.0,15.01,1474.0,LCL,87.39,Peak,Carrier_D,6.0,53830.0
SHP00150P,Pune,Rotterdam,Sea,General Merchandise,7591.0,0.5,1334.0,40FT_HC,106.28,Peak,Carrier_C,16.0,96080.0
SHP00151H,Hyderabad,Los Angeles,Sea,Furniture,2059.0,0.5,3278.0,40FT_HC,114.55,Normal,Carrier_D,8.0,87513.0
SHP00152B,Bengaluru,New York,Sea,Chemicals,3963.0,4.87,8836.0,40FT,106.17,Normal,Carrier_E,17.0,94326.0
SHP00153D,Delhi,Jebel Ali,Sea,General Merchandise,7485.0,0.5,1406.0,LCL,108.85,Normal,Carrier_C,15.0,77989.0
SHP00154B,Bengaluru,Jebel Ali,Sea,Electronics,1974.0,0.5,9084.0,LCL,112.58,Normal,Carrier_C,19.0,95446.0
SHP00155K,Kolkata,Hamburg,Road,Chemicals,2837.0,7.93,9122.0,AIR_CARGO,107.07,Normal,Carrier_C,17.0,125313.0
SHP00156D,Delhi,Jebel Ali,Sea,Pharmaceuticals,2153.0,11.23,2762.0,LCL,114.21,Normal,Carrier_B,6.0,59191.0
SHP00157P,Pune,New York,Air,Furniture,2610.0,13.4,508.0,AIR_CARGO,104.89,Normal,Carrier_C,3.0,98959.0
SHP00158D,Delhi,Colombo,Air,Electronics,4706.0,0.5,1187.0,LCL,101.46,Peak,Carrier_E,7.0,188135.0
SHP00159B,Bengaluru,Los Angeles,Sea,Textiles,2439.0,5.37,11069.0,40FT,102.73,Normal,Carrier_D,20.0,112278.0
SHP00160C,Chennai,Hamburg,Air,Automotive Parts,2728.0,11.15,7146.0,LCL,111.0,Normal,Carrier_B,14.0,293099.0
SHP00161P,Pune,Jebel Ali,Sea,Furniture,7142.0,11.76,8866.0,40FT,102.32,Normal,Carrier_D,21.0,107263.0
SHP00162D,Delhi,Colombo,Sea,Machinery,2099.0,9.81,10615.0,LCL,105.45,Normal,Carrier_A,20.0,97599.0
SHP00163K,Kolkata,Los Angeles,Sea,Electronics,1638.0,8.78,10920.0,LCL,83.64,Normal,Carrier_B,22.0,76939.0
SHP00164H,Hyderabad,Dubai,Sea,Machinery,3974.0,1.68,6584.0,20FT,111.51,Normal,Carrier_E,12.0,84045.0
SHP00165C,Chennai,Colombo,Sea,Furniture,6721.0,0.5,5000.0,LCL,92.89,Normal,Carrier_B,13.0,60767.0
SHP00166C,Chennai,Dubai,Air,Machinery,2034.0,3.24,10286.0,40FT,81.44,Peak,Carrier_C,18.0,240499.0
SHP00167C,Chennai,Dubai,Sea,Furniture,1790.0,8.01,9786.0,40FT_HC,106.99,Normal,Carrier_B,21.0,101082.0
SHP00168D,Delhi,Colombo,Sea,Automotive Parts,2962.0,0.97,8537.0,40FT,89.26,Off_Peak,Carrier_C,15.0,61487.0
SHP00169C,Chennai,Jebel Ali,Sea,Textiles,5620.0,5.23,7451.0,LCL,82.36,Normal,Carrier_D,17.0,60089.0
SHP00170B,Bengaluru,Dubai,Sea,Automotive Parts,6853.0,16.57,7598.0,AIR_CARGO,85.25,Off_Peak,Carrier_B,17.0,65698.0
SHP00171C,Chennai,Jebel Ali,Air,Chemicals,2935.0,9.52,4673.0,20FT,76.4,Peak,Carrier_B,10.0,143690.0
SHP00172K,Kolkata,Jebel Ali,Sea,Electronics,10171.0,0.5,912.0,AIR_CARGO,78.62,Normal,Carrier_E,22.0,58586.0
SHP00173P,Pune,Los Angeles,Sea,Machinery,1790.0,1.87,7604.0,20FT,98.7,Normal,Carrier_A,22.0,77359.0
SHP00174P,Pune,Shanghai,Sea,Automotive Parts,1922.0,7.08,3071.0,20FT,109.65,Normal,Carrier_B,9.0,60661.0
SHP00175M,Mumbai,New York,Sea,Furniture,3174.0,4.08,3258.0,AIR_CARGO,92.94,Peak,Carrier_D,6.0,57934.0
SHP00176K,Kolkata,Jebel Ali,Sea,Automotive Parts,2593.0,2.99,10408.0,LCL,100.04,Normal,Carrier_C,24.0,90599.0
SHP00177D,Delhi,Los Angeles,Sea,Automotive Parts,1598.0,4.91,7696.0,40FT,107.39,Normal,Carrier_D,16.0,281995.0
SHP00178C,Chennai,London,Sea,Electronics,5085.0,4.19,1108.0,AIR_CARGO,89.27,Normal,Carrier_E,15.0,52002.0
SHP00179C,Chennai,Dubai,Road,Textiles,2652.0,2.49,1422.0,40FT_HC,101.17,Off_Peak,Carrier_B,6.0,55171.0
SHP00180B,Bengaluru,Hamburg,Sea,Pharmaceuticals,7517.0,9.24,1388.0,20FT,89.02,Normal,Carrier_A,18.0,65845.0
SHP00181H,Hyderabad,Jebel Ali,Sea,Automotive Parts,7173.0,20.08,2620.0,40FT,100.71,Peak,Carrier_A,7.0,68596.0
SHP00182C,Chennai,Colombo,Sea,Electronics,1516.0,2.21,5907.0,40FT_HC,83.7,Peak,Carrier_B,18.0,62415.0
SHP00183A,Mumbai,Dubai,Road,Machinery,2600.0,1.03,8291.0,40FT,114.11,Normal,Carrier_A,17.0,139168.0
SHP00184K,Kolkata,Dubai,Road,Furniture,4692.0,15.14,7002.0,LCL,78.05,Normal,Carrier_D,21.0,79878.0
SHP00185D,Delhi,London,Sea,Chemicals,2838.0,10.86,11104.0,40FT_HC,95.21,Peak,Carrier_C,23.0,104912.0
SHP00186P,Pune,Hamburg,Air,Pharmaceuticals,5000.0,2.54,957.0,AIR_CARGO,86.45,Normal,Carrier_B,5.0,73060.0
SHP00187M,Mumbai,Los Angeles,Sea,General Merchandise,4743.0,12.4,3718.0,40FT,99.03,Normal,Carrier_C,12.0,201957.0
SHP00188C,Chennai,London,Sea,Pharmaceuticals,3147.0,10.3,1156.0,AIR_CARGO,92.13,Normal,Carrier_A,3.0,38366.0
SHP00189M,Mumbai,New York,Sea,Furniture,2738.0,7.85,604.0,AIR_CARGO,87.27,Off_Peak,Carrier_E,9.0,33405.0
SHP00190C,Chennai,Dubai,Sea,Pharmaceuticals,5618.0,16.93,1926.0,40FT,85.0,Normal,Carrier_C,5.0,42011.0
SHP00191D,Delhi,Jebel Ali,Sea,Furniture,4410.0,12.28,8926.0,40FT,82.3,Peak,Carrier_E,19.0,75506.0
